                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3514,                 5.7677,                 4.3619,                      0,                      0,                      0,                      0,                  5.667,                 5.4229,                 4.2267,             0.00021806,             0.00021806,             0.00021806
                      1,                 2.6213,                 3.0758,                 2.6811,                      0,                      0,                      0,                      0,                  5.685,                 5.5948,                 4.2429,             0.00043865,             0.00043865,             0.00043865
                      2,                 2.0344,                 2.4607,                 2.0622,                0.76271,                0.32271,                0.54479,                0.29526,                 1.8104,                 2.2334,                 2.0729,             0.00065748,             0.00065748,             0.00065748
                      3,                 1.8529,                  2.087,                 1.7819,                0.69647,                 0.5271,                0.61272,                0.35477,                 1.6594,                 1.5259,                 1.7518,             0.00065908,             0.00065908,             0.00065908
                      4,                 1.6385,                 1.8163,                 1.6043,                0.78679,                0.44724,                0.65685,                0.36765,                 1.5654,                 1.9535,                 1.6989,             0.00065908,             0.00065908,             0.00065908
                      5,                 1.4733,                 1.6178,                 1.4639,                0.68808,                0.63935,                0.70546,                0.45765,                 1.3441,                 1.2748,                 1.4493,             0.00065643,             0.00065643,             0.00065643
                      6,                 1.3844,                  1.564,                 1.3704,                0.63224,                0.71457,                0.72756,                0.47901,                 1.3719,                 1.5137,                 1.3758,             0.00065379,             0.00065379,             0.00065379
                      7,                 1.3214,                 1.4529,                 1.3174,                0.73161,                0.72492,                0.78769,                0.53572,                 1.1642,                 1.1491,                 1.2288,             0.00065115,             0.00065115,             0.00065115
                      8,                 1.3243,                 1.3421,                 1.2749,                0.67667,                0.69574,                0.74626,                0.50505,                 1.2368,                 1.2277,                 1.2464,             0.00064851,             0.00064851,             0.00064851
                      9,                 1.2698,                 1.3062,                 1.2633,                0.65829,                0.71065,                0.79591,                0.53985,                 1.1588,                 1.3651,                 1.2253,             0.00064587,             0.00064587,             0.00064587
                     10,                 1.2138,                 1.2001,                  1.227,                 0.7633,                0.74317,                0.83226,                0.59436,                 1.0972,                 1.2245,                 1.1842,             0.00064323,             0.00064323,             0.00064323
                     11,                  1.195,                 1.1467,                 1.1831,                0.75425,                0.78081,                0.85706,                0.61822,                 1.0839,                0.95328,                 1.1312,             0.00064059,             0.00064059,             0.00064059
                     12,                 1.2481,                 1.1462,                 1.2006,                0.80167,                0.76583,                 0.8429,                0.58957,                  1.133,                0.96701,                 1.1499,             0.00063795,             0.00063795,             0.00063795
                     13,                 1.1448,                 1.0797,                 1.1501,                0.86307,                0.81392,                0.88503,                0.63907,                 1.0056,                0.86835,                 1.0994,              0.0006353,              0.0006353,              0.0006353
                     14,                 1.1153,                 1.0157,                 1.1432,                0.85362,                0.82854,                0.88184,                 0.6548,                 1.0181,                0.92166,                 1.1172,             0.00063266,             0.00063266,             0.00063266
                     15,                 1.1117,                0.97668,                 1.1168,                0.81601,                0.79637,                0.87303,                0.64499,                 1.0157,                0.89697,                 1.0997,             0.00063002,             0.00063002,             0.00063002
                     16,                 1.1128,                0.99937,                 1.1092,                 0.8452,                0.82164,                0.88667,                0.64667,                 1.0265,                0.88847,                 1.0898,             0.00062738,             0.00062738,             0.00062738
                     17,                 1.0727,                0.96133,                 1.1145,                0.80894,                0.81025,                 0.8955,                0.63228,                 1.0703,                0.90559,                 1.1272,             0.00062474,             0.00062474,             0.00062474
                     18,                 1.0874,                0.92565,                 1.1041,                0.84915,                0.83549,                0.90199,                0.66084,                 1.0199,                0.82967,                   1.09,              0.0006221,              0.0006221,              0.0006221
                     19,                 1.0501,                0.89473,                 1.0906,                0.86176,                 0.8058,                0.90683,                0.67534,                0.95949,                0.84181,                 1.0535,             0.00061946,             0.00061946,             0.00061946
                     20,                 1.0744,                0.90993,                 1.1004,                0.77733,                0.78507,                0.87996,                0.64848,                0.98069,                0.92858,                 1.0739,             0.00061681,             0.00061681,             0.00061681
                     21,                 1.0338,                0.87167,                 1.0746,                0.84493,                0.87969,                0.91355,                0.68243,                0.90922,                0.76219,                 1.0369,             0.00061417,             0.00061417,             0.00061417
                     22,                 1.0099,                0.83877,                 1.0539,                0.85586,                0.86511,                0.92942,                0.71032,                0.89811,                0.76103,                 1.0258,             0.00061153,             0.00061153,             0.00061153
                     23,                 1.0468,                0.86339,                 1.0792,                 0.8051,                0.84992,                0.91597,                0.69694,                0.89447,                0.80161,                  1.025,             0.00060889,             0.00060889,             0.00060889
                     24,                 1.0231,                  0.845,                 1.0654,                0.82741,                0.90167,                0.93191,                 0.6969,                0.92823,                0.73711,                 1.0249,             0.00060625,             0.00060625,             0.00060625
                     25,                0.98746,                 0.8142,                 1.0482,                0.84801,                0.87933,                0.93554,                0.68969,                0.92181,                0.74697,                 1.0308,             0.00060361,             0.00060361,             0.00060361
                     26,                 0.9836,                0.78136,                 1.0528,                0.88323,                0.88488,                0.94417,                0.72926,                0.85841,                0.64615,                 1.0037,             0.00060097,             0.00060097,             0.00060097
                     27,                0.97664,                0.79443,                 1.0391,                0.84454,                0.87708,                0.93127,                 0.6966,                0.91834,                0.76067,                 1.0312,             0.00059833,             0.00059833,             0.00059833
                     28,                0.97248,                0.81572,                 1.0415,                0.86098,                0.86446,                0.93173,                0.71579,                0.90611,                0.69583,                 1.0083,             0.00059568,             0.00059568,             0.00059568
                     29,                0.97993,                0.77214,                 1.0373,                0.90277,                0.88417,                0.93407,                0.73527,                0.86778,                0.65017,                 1.0065,             0.00059304,             0.00059304,             0.00059304
                     30,                0.97425,                0.75544,                 1.0326,                0.83742,                0.87395,                0.90338,                0.67948,                 1.0235,                0.74205,                 1.0579,              0.0005904,              0.0005904,              0.0005904
                     31,                0.96759,                0.73477,                 1.0182,                0.87183,                0.90989,                0.93968,                0.72859,                0.87387,                0.63718,                 1.0017,             0.00058776,             0.00058776,             0.00058776
                     32,                0.95621,                 0.7272,                 1.0198,                 0.9052,                0.90674,                0.94013,                0.72064,                0.89962,                0.64862,                 1.0024,             0.00058512,             0.00058512,             0.00058512
