                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1981,                 2.3666,                 1.0419,                0.80452,                0.81498,                0.88859,                0.68069,                0.79532,                 1.0372,                0.86428,              0.0033272,              0.0033272,              0.0033272
                      1,                 1.0244,                 1.2524,                0.98021,                0.92203,                0.89008,                0.95337,                0.76098,                0.69425,                0.77555,                0.84587,              0.0066341,              0.0066341,              0.0066341
                      2,                0.99579,                 1.0741,                 0.9802,                 0.9348,                0.89391,                0.95989,                0.76977,                0.69988,                0.72722,                0.85329,              0.0099147,              0.0099147,              0.0099147
                      3,                0.96744,                0.91397,                0.97529,                0.96569,                0.92241,                0.96734,                0.79214,                0.67193,                0.58548,                0.85615,              0.0098812,              0.0098812,              0.0098812
                      4,                 0.9028,                 0.7788,                0.95714,                0.94181,                0.93779,                0.97024,                0.80578,                0.64036,                0.52773,                0.84369,              0.0098812,              0.0098812,              0.0098812
                      5,                0.86891,                0.70238,                0.94551,                0.95568,                0.93928,                0.96795,                0.80255,                0.62346,                0.49133,                0.83565,              0.0098416,              0.0098416,              0.0098416
                      6,                0.83357,                0.65324,                0.93434,                0.94198,                 0.9397,                0.96455,                0.80265,                0.61614,                0.47834,                0.83894,               0.009802,               0.009802,               0.009802
                      7,                 0.8182,                0.62499,                0.92826,                0.93302,                0.94508,                0.97228,                0.80955,                0.62218,                0.45995,                0.83845,              0.0097624,              0.0097624,              0.0097624
                      8,                0.78901,                0.59748,                0.92356,                0.95502,                0.94197,                0.97095,                0.81957,                0.60033,                0.43381,                0.83471,              0.0097228,              0.0097228,              0.0097228
                      9,                 0.7762,                0.58158,                0.91739,                 0.9508,                0.95682,                 0.9722,                0.82718,                0.56724,                0.42946,                 0.8257,              0.0096832,              0.0096832,              0.0096832
                     10,                0.76878,                0.56539,                 0.9167,                0.96539,                0.95029,                0.97568,                0.82335,                0.58459,                0.41761,                0.82484,              0.0096436,              0.0096436,              0.0096436
                     11,                0.75535,                0.55162,                0.91168,                0.97056,                0.95026,                 0.9726,                0.83285,                 0.5742,                0.40861,                0.82664,               0.009604,               0.009604,               0.009604
                     12,                0.74566,                0.54332,                0.90644,                0.97309,                 0.9587,                0.97918,                0.83597,                0.56959,                0.39205,                 0.8217,              0.0095644,              0.0095644,              0.0095644
                     13,                0.73987,                0.53521,                0.90481,                0.95888,                0.94673,                0.97173,                0.83247,                0.57182,                0.39642,                0.82491,              0.0095248,              0.0095248,              0.0095248
                     14,                0.73218,                0.52644,                0.90502,                0.96746,                0.94919,                0.97585,                0.84119,                0.57077,                0.38992,                0.82697,              0.0094852,              0.0094852,              0.0094852
                     15,                0.72452,                0.51883,                0.90364,                0.96729,                 0.9562,                 0.9753,                0.83483,                0.56707,                0.39233,                0.82768,              0.0094456,              0.0094456,              0.0094456
                     16,                0.71547,                0.50462,                0.89793,                0.96553,                0.95556,                0.97874,                0.83953,                0.56201,                0.37718,                0.82493,               0.009406,               0.009406,               0.009406
                     17,                0.71168,                0.50763,                0.89805,                0.96737,                0.95371,                0.97632,                0.84457,                0.54266,                0.37377,                 0.8207,              0.0093664,              0.0093664,              0.0093664
                     18,                0.70735,                0.50086,                0.89711,                  0.972,                0.95566,                0.97694,                0.84134,                0.55748,                0.37787,                0.82686,              0.0093268,              0.0093268,              0.0093268
                     19,                0.69874,                0.49314,                0.89456,                0.96629,                0.95524,                0.97452,                0.84355,                 0.5466,                0.37003,                0.82178,              0.0092872,              0.0092872,              0.0092872
                     20,                0.69402,                0.48683,                0.89453,                0.96622,                0.95602,                0.97519,                0.84554,                0.55973,                0.37294,                0.82231,              0.0092476,              0.0092476,              0.0092476
                     21,                0.68865,                0.48469,                 0.8904,                0.96295,                0.96261,                0.97501,                0.85292,                0.53592,                0.35469,                0.81549,               0.009208,               0.009208,               0.009208
                     22,                0.68594,                0.47772,                0.88888,                0.96951,                0.95778,                0.97806,                0.85257,                0.54323,                0.35949,                0.81784,              0.0091684,              0.0091684,              0.0091684
                     23,                 0.6754,                0.47148,                0.88681,                0.97084,                0.95461,                0.97572,                0.85187,                0.53349,                 0.3564,                0.81623,              0.0091288,              0.0091288,              0.0091288
                     24,                0.68211,                0.47486,                0.88907,                 0.9656,                0.95818,                0.97672,                0.85344,                0.54609,                0.34845,                0.82145,              0.0090892,              0.0090892,              0.0090892
                     25,                0.67752,                0.47314,                 0.8889,                0.96981,                0.96144,                0.97718,                0.85043,                0.53538,                0.34424,                0.81454,              0.0090496,              0.0090496,              0.0090496
                     26,                 0.6738,                0.46837,                0.88798,                0.96755,                0.95795,                 0.9768,                0.85467,                0.53559,                 0.3459,                0.81783,                0.00901,                0.00901,                0.00901
                     27,                0.67156,                0.46176,                0.88674,                0.95406,                0.95789,                0.97573,                0.85224,                0.54145,                0.34587,                0.81803,              0.0089704,              0.0089704,              0.0089704
                     28,                0.66382,                0.45675,                0.88268,                0.96727,                0.95968,                0.97877,                0.85964,                0.52747,                0.34347,                0.81603,              0.0089308,              0.0089308,              0.0089308
                     29,                0.66268,                0.45831,                0.88364,                0.96949,                 0.9595,                0.97742,                0.85537,                 0.5367,                0.33044,                0.81701,              0.0088912,              0.0088912,              0.0088912
                     30,                0.66525,                0.45555,                0.88241,                0.96869,                0.96129,                0.97884,                0.85453,                 0.5279,                0.33169,                0.81431,              0.0088516,              0.0088516,              0.0088516
                     31,                0.66112,                0.45509,                0.88243,                0.97328,                0.95185,                 0.9768,                0.86068,                0.52564,                0.33806,                0.81435,               0.008812,               0.008812,               0.008812
                     32,                0.65045,                0.44771,                0.87987,                0.96636,                0.96358,                0.97855,                 0.8568,                0.53739,                0.33658,                0.81524,              0.0087724,              0.0087724,              0.0087724
                     33,                0.65339,                0.44513,                0.87894,                0.96552,                0.95862,                0.97748,                0.85815,                0.52398,                0.33132,                0.81462,              0.0087328,              0.0087328,              0.0087328
                     34,                0.64985,                 0.4482,                0.88093,                0.96824,                0.95833,                0.97925,                0.86337,                0.51635,                0.33286,                0.81375,              0.0086932,              0.0086932,              0.0086932
                     35,                0.65111,                0.44435,                0.88181,                0.96528,                0.96032,                0.97488,                0.86316,                0.51571,                0.32671,                0.81296,              0.0086536,              0.0086536,              0.0086536
                     36,                0.65169,                0.44425,                0.88173,                 0.9684,                0.96126,                0.97935,                0.86443,                 0.5258,                0.32407,                0.81402,               0.008614,               0.008614,               0.008614
                     37,                0.64596,                0.43645,                0.87915,                0.97201,                0.95519,                0.97766,                 0.8653,                0.51927,                0.32734,                0.81311,              0.0085744,              0.0085744,              0.0085744
                     38,                0.64214,                0.43733,                0.87745,                 0.9676,                0.95955,                0.97892,                0.86737,                0.52117,                0.32195,                0.81282,              0.0085348,              0.0085348,              0.0085348
                     39,                0.64409,                0.43492,                0.87809,                0.96668,                0.95741,                0.97885,                 0.8671,                0.50512,                 0.3166,                0.81015,              0.0084952,              0.0084952,              0.0084952
                     40,                0.64071,                0.43398,                0.87729,                0.97068,                0.95804,                0.97616,                0.86404,                0.51421,                 0.3156,                0.81001,              0.0084556,              0.0084556,              0.0084556
                     41,                0.63507,                0.43196,                0.87756,                0.97361,                 0.9607,                0.97767,                0.86689,                0.51224,                 0.3155,                0.81152,               0.008416,               0.008416,               0.008416
                     42,                0.64079,                0.43058,                0.87691,                 0.9703,                0.95776,                0.97514,                0.86444,                0.51525,                0.31909,                0.81095,              0.0083764,              0.0083764,              0.0083764
                     43,                 0.6357,                0.42553,                0.87484,                0.96977,                 0.9562,                0.97559,                0.86681,                0.51175,                0.31413,                0.81007,              0.0083368,              0.0083368,              0.0083368
                     44,                0.62718,                0.42437,                0.87475,                0.96866,                0.95726,                0.97645,                0.86485,                0.52611,                  0.319,                0.81413,              0.0082972,              0.0082972,              0.0082972
                     45,                 0.6293,                0.42495,                0.87314,                0.97043,                0.96298,                0.97839,                0.86928,                0.51226,                0.31189,                0.81032,              0.0082576,              0.0082576,              0.0082576
                     46,                0.62292,                0.41823,                0.87277,                0.96912,                0.96208,                0.97834,                0.86726,                0.50922,                0.31077,                0.80932,               0.008218,               0.008218,               0.008218
                     47,                0.62202,                0.42368,                0.86955,                 0.9734,                0.96091,                0.97775,                0.87202,                0.50254,                0.31008,                0.80719,              0.0081784,              0.0081784,              0.0081784
                     48,                0.62689,                0.42223,                0.87165,                0.96916,                0.95493,                0.97406,                0.86464,                0.50309,                0.31257,                0.80693,              0.0081388,              0.0081388,              0.0081388
                     49,                0.62102,                0.41884,                0.87036,                0.96183,                0.95764,                0.97762,                0.86992,                0.50191,                0.30853,                0.80726,              0.0080992,              0.0080992,              0.0080992
                     50,                 0.6164,                0.41623,                0.86704,                0.96302,                0.95425,                0.97838,                0.87174,                 0.4968,                0.30749,                0.80637,              0.0080596,              0.0080596,              0.0080596
                     51,                 0.6183,                0.41422,                0.86956,                0.96447,                0.96364,                0.97917,                0.87097,                0.49699,                 0.3089,                0.80623,                0.00802,                0.00802,                0.00802
                     52,                0.61654,                0.41423,                0.86724,                0.97327,                0.95832,                0.97719,                0.86911,                 0.5014,                0.29999,                0.80637,              0.0079804,              0.0079804,              0.0079804
                     53,                0.61639,                0.41049,                 0.8667,                 0.9757,                0.95861,                0.97877,                0.87067,                 0.4986,                0.29551,                  0.806,              0.0079408,              0.0079408,              0.0079408
                     54,                0.61786,                0.41356,                0.86868,                0.97602,                0.96168,                0.97984,                0.87194,                0.50532,                  0.294,                0.80608,              0.0079012,              0.0079012,              0.0079012
                     55,                0.61237,                0.40911,                0.86617,                0.97099,                0.95689,                 0.9797,                 0.8719,                0.49921,                0.29736,                 0.8058,              0.0078616,              0.0078616,              0.0078616
                     56,                 0.6129,                0.41005,                0.86544,                0.96914,                0.95891,                0.97994,                0.87558,                0.49652,                0.29371,                0.80466,               0.007822,               0.007822,               0.007822
                     57,                0.60906,                0.41022,                0.86653,                 0.9719,                0.95934,                0.97916,                0.86991,                0.50086,                0.29268,                0.80508,              0.0077824,              0.0077824,              0.0077824
                     58,                 0.6051,                0.40793,                 0.8646,                0.96732,                0.96172,                0.97918,                 0.8749,                0.50134,                0.29536,                0.80527,              0.0077428,              0.0077428,              0.0077428
                     59,                0.60481,                0.40235,                0.86459,                0.97266,                0.96156,                0.97905,                0.87135,                 0.5019,                0.29344,                0.80567,              0.0077032,              0.0077032,              0.0077032
                     60,                0.60367,                 0.4016,                0.86332,                 0.9722,                0.96162,                0.97769,                0.87169,                0.50111,                0.29464,                0.80493,              0.0076636,              0.0076636,              0.0076636
                     61,                0.60223,                0.40384,                 0.8637,                0.96682,                0.95878,                0.97487,                 0.8723,                0.50314,                0.29432,                0.80688,               0.007624,               0.007624,               0.007624
                     62,                 0.6018,                0.39637,                0.86122,                0.97071,                0.95835,                0.97815,                0.87074,                0.50403,                0.29121,                 0.8059,              0.0075844,              0.0075844,              0.0075844
                     63,                0.59905,                0.39988,                0.86273,                 0.9734,                0.96007,                0.98066,                0.87687,                 0.5013,                0.28648,                0.80368,              0.0075448,              0.0075448,              0.0075448
                     64,                0.60267,                0.40437,                0.86402,                0.96904,                0.96018,                0.97762,                0.87442,                0.50677,                0.29358,                0.80496,              0.0075052,              0.0075052,              0.0075052
                     65,                0.59736,                0.39749,                0.86185,                0.97125,                0.96168,                0.97989,                0.87558,                0.49998,                0.29033,                0.80476,              0.0074656,              0.0074656,              0.0074656
                     66,                0.59826,                0.39455,                0.86224,                0.97041,                0.96013,                 0.9796,                0.87663,                0.49618,                0.28825,                0.80366,               0.007426,               0.007426,               0.007426
                     67,                0.60271,                0.40286,                0.86477,                 0.9735,                0.95313,                 0.9766,                0.87431,                0.49728,                0.28953,                0.80453,              0.0073864,              0.0073864,              0.0073864
                     68,                0.60083,                0.39985,                0.86316,                0.96504,                0.96561,                0.97676,                0.87207,                0.50289,                0.28786,                 0.8046,              0.0073468,              0.0073468,              0.0073468
                     69,                0.59629,                0.38973,                0.86272,                0.97375,                0.95937,                0.97712,                0.87431,                0.50145,                0.28369,                0.80416,              0.0073072,              0.0073072,              0.0073072
                     70,                0.59143,                0.39106,                0.86025,                0.97502,                0.96185,                0.98014,                0.87632,                 0.5011,                0.28342,                0.80415,              0.0072676,              0.0072676,              0.0072676
                     71,                0.59635,                0.39539,                0.86383,                0.97133,                0.95996,                0.97901,                0.87523,                0.49656,                0.28395,                0.80364,               0.007228,               0.007228,               0.007228
                     72,                0.59071,                0.39081,                0.86044,                0.97239,                0.96086,                0.97817,                0.87419,                0.49633,                0.28446,                0.80311,              0.0071884,              0.0071884,              0.0071884
                     73,                0.59257,                0.39211,                0.85969,                0.97548,                0.96402,                 0.9802,                0.87489,                 0.4991,                 0.2858,                0.80337,              0.0071488,              0.0071488,              0.0071488
                     74,                0.59128,                0.38975,                 0.8624,                0.97261,                0.96301,                0.97933,                0.87731,                 0.4955,                0.28611,                0.80334,              0.0071092,              0.0071092,              0.0071092
                     75,                0.58505,                0.38374,                0.85969,                0.97342,                0.96155,                0.97843,                0.87751,                0.49473,                0.28528,                0.80312,              0.0070696,              0.0070696,              0.0070696
                     76,                0.58758,                0.39105,                0.86032,                0.97874,                0.96101,                0.97979,                0.87649,                 0.4958,                0.28518,                0.80348,                0.00703,                0.00703,                0.00703
                     77,                0.59029,                0.39034,                 0.8617,                0.97358,                  0.959,                0.97845,                0.87533,                0.49797,                0.28571,                0.80381,              0.0069904,              0.0069904,              0.0069904
                     78,                0.58387,                0.38611,                0.86019,                0.97055,                 0.9567,                0.97659,                0.87458,                0.49876,                0.28428,                0.80406,              0.0069508,              0.0069508,              0.0069508
                     79,                0.58441,                0.38606,                0.85897,                0.97242,                0.95673,                 0.9781,                0.87504,                0.49775,                0.28255,                0.80377,              0.0069112,              0.0069112,              0.0069112
                     80,                0.58117,                0.38519,                0.85743,                0.97368,                 0.9587,                0.97718,                0.87737,                0.49649,                0.27892,                0.80364,              0.0068716,              0.0068716,              0.0068716
                     81,                0.58634,                0.38422,                0.85897,                0.97446,                0.95884,                0.97899,                0.87809,                0.49629,                0.28008,                0.80385,               0.006832,               0.006832,               0.006832
                     82,                 0.5822,                0.38236,                0.85931,                0.97475,                0.95985,                0.97923,                0.87777,                0.49481,                0.28052,                0.80389,              0.0067924,              0.0067924,              0.0067924
                     83,                0.58258,                0.38148,                0.86062,                0.97495,                0.96001,                0.97948,                0.87612,                0.49337,                0.27946,                0.80271,              0.0067528,              0.0067528,              0.0067528
                     84,                0.57846,                0.37834,                0.85762,                0.97507,                0.95853,                0.98019,                0.87631,                0.49344,                0.27973,                0.80229,              0.0067132,              0.0067132,              0.0067132
                     85,                0.57789,                 0.3786,                0.85675,                0.97521,                0.96156,                0.98018,                0.87846,                0.49497,                0.28134,                0.80261,              0.0066736,              0.0066736,              0.0066736
                     86,                0.58082,                0.38028,                0.85798,                0.97555,                0.96161,                0.98068,                 0.8785,                0.49346,                0.28024,                0.80273,               0.006634,               0.006634,               0.006634
                     87,                0.57649,                0.37961,                0.85838,                 0.9746,                 0.9636,                0.97976,                0.87923,                0.49202,                0.27849,                0.80244,              0.0065944,              0.0065944,              0.0065944
